Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,2099000,3,2,1711,100 Jay St Apt 16A,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.7019735,-73.9869044
Brokered by KUS Realty Premier Inc,Condo for sale,345000,1,1,2184,172-31 Highland Ave Unit 2A,"Jamaica, NY 11432",New York,Queens County,Queens,40.7135571,-73.7901901
Brokered by Cross Country Realty,Condo for sale,410000,2,1,2184,85 Elmwood Park Dr Apt 60,"Staten Island, NY 10314",New York,Richmond County,Staten Island,40.5800127,-74.1614787
Brokered by Coldwell Banker Warburg,Condo for sale,7995000,3,4,4412,45 E 30th St # B,"New York, NY 10016",United States,New York,New York County,40.7449246,-73.9836051
Brokered by Corcoran West Side Gallery,Condo for sale,1395000,2,2,1793,253 W 73rd St Apt 4F,"New York, NY 10023",New York,New York County,New York,40.780245,-73.9827963
Brokered by COMPASS,Condo for sale,60000,3,1,445,2 E 55th St Unit 809W35,"Manhattan, NY 10022",New York,New York County,New York,40.7613979,-73.9746128
Brokered by Ditommaso Real Estate,Condo for sale,479000,2,2,1008,57 Stone Ln Unit 2,"Staten Island, NY 10314",New York,Richmond County,Staten Island,40.5782884,-74.1583011
Brokered by Corcoran Park Slope,Condo for sale,1075000,2,2,2184,357 W 30th St # 5/6,"New York, NY 10001",United States,New York,New York County,40.7507895,-73.9974127
Brokered by COMPASS,Condo for sale,600000,3,1,441,1 Central Park W Unit 612,"Manhattan, NY 10023",New York,New York County,New York,40.7691094,-73.98162
Brokered by Avenues - Headquarters,Condo for sale,275000,1,1,850,3202 Nostrand Ave Apt 6E,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,40.6056272,-73.943238
Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1,550,1759 Bay Ridge Pkwy Unit 3E,"Brooklyn, NY 11204",New York,Kings County,Brooklyn,40.6141211,-73.9966616
Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1,550,1759 Bay Ridge Pkwy Unit 3E,"Brooklyn, NY 11204",New York,Kings County,Brooklyn,40.6141211,-73.9966616
Brokered by COMPASS,Condo for sale,1989000,2,2,1274,406 W 45th St Apt 3D,"Manhattan, NY 10036",New York,New York County,New York,40.7603978,-73.9919328
Brokered by Exp Realty,Condo for sale,249000,2,1,815,1718 Purdy St Apt Mb,"Bronx, NY 10462",United States,New York,Bronx County,40.840962,-73.854142
NoBroker,Condo for sale,509000,3,1,2184,91-10 34th Ave Unit 5J,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7544029,-73.876343
Brokered by COMPASS,Condo for sale,2200000,3,4,1779,530 E 76th St Unit 27CD,"Manhattan, NY 10021",New York,New York County,New York,40.7685084,-73.9499965
Brokered by Corcoran Westside Columbus,Condo for sale,3300000,2,2,1652,303 E 77th St Ph C,"New York, NY 10075",United States,New York,New York County,40.7720149,-73.9555341
Brokered by COMPASS,Condo for sale,2700000,3,3,1398,21 India St Apt 36F,"Brooklyn, NY 11222",New York,Kings County,Brooklyn,40.7320824,-73.9610327
Brokered by Corcoran West Side Gallery,Condo for sale,750000,2,2,995,2 Bay Club Dr Apt 17P,"Queens, NY 11360",New York,Queens County,Queens,40.7784107,-73.7810479
Brokered by COMPASS,Condo for sale,2200000,2,2,2035,15 E 70th St Unit 1A,"Manhattan, NY 10021",New York,New York County,New York,40.7708684,-73.966733
Brokered by Mcgrath Realty Inc.,Condo for sale,1389000,2,2,1043,40 Pinehurst Ave Apt 8B,"New York, NY 10033",New York,New York County,New York,40.849705,-73.94014
Brokered by E House Realty & Mgt. Inc.,Condo for sale,649000,2,2,905,217 Bay 49th St Unit 4A,"Brooklyn, NY 11214",United States,New York,Kings County,40.5855131,-73.9883977
Brokered by Acadia Real Estate Grp LLC,Condo for sale,450000,2,1,2184,132-50 Maple Ave Unit B4R,"Flushing, NY 11355",New York,Queens County,Queens,40.7541793,-73.8310866
Brokered by Corcoran Brooklyn Heights,Condo for sale,1300000,2,2,1100,529 Court St Apt 406,"Brooklyn, NY 11231",New York,Kings County,Brooklyn,40.6746458,-73.9992831
Brokered by Midas Realty,Condo for sale,1090000,2,2,1860,207-15 Melissa Ct Unit 219L,"Bayside, NY 11360",New York,Queens County,Queens,40.7879226,-73.7863723
Brokered by Midas Realty,Condo for sale,1090000,2,2,1860,207-15 Melissa Ct Unit 219L,"Bayside, NY 11360",New York,Queens County,Queens,40.7879226,-73.7863723
Brokered by Real Broker Llc,Condo for sale,425000,2,2,800,3240 Netherland Ave Apt 6A,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8848915,-73.9110436
Brokered by UNITED NATIONAL REALTY,Condo for sale,449000,2,2,1440,1722 Forest Hill Rd,"Staten Island, NY 10314",United States,New York,Richmond County,40.580134,-74.154154
Brokered by Ilite Realty Inc,Condo for sale,789000,2,2,1230,40 Oceana Dr W Unit 1C,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.577533,-73.958513
Brokered by Coldwell Banker Warburg,Condo for sale,3595000,3,3,1862,475 Greenwich St Apt 2A,"New York, NY 10013",New York,New York County,New York,40.7241961,-74.0091487
Brokered by Promise Realty LLC,Condo for sale,357000,3,1,1100,5 Metropolitan Oval Apt 10F,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.8389829,-73.8601515
Brokered by Exp Realty,Condo for sale,499000,3,2,1156,86-10 Dumont Ave Unit 5C,"Ozone Park, NY 11417",New York,Queens County,Queens,40.6726721,-73.8496745
Brokered by COMPASS,Condo for sale,595000,3,1,660,55 Wall St Apt 714,"Manhattan, NY 10005",New York,New York County,New York,40.7059312,-74.0093393
Brokered by YourHomeSold Guarantee Realty,Condo for sale,319000,2,2,1102,135 Sunset Blvd Unit 10135,"Bronx, NY 10473",United States,New York,Bronx County,40.806951,-73.853401
Brokered by COMPASS,Condo for sale,4250000,3,4,2054,255 E 74th St Apt 16C,"Manhattan, NY 10021",New York County,New York,Manhattan,40.7704759,-73.9574549
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,747000,11,1,747,400 Central Park W Apt 8H,"New York, NY 10025",New York,New York County,New York,40.7942099,-73.9636725
Brokered by RE MAX 1st Choice,Condo for sale,569000,2,2,2184,64-34 Grand Central Pkwy Unit 2A,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7332174,-73.8448704
